feature,dataset,run_dir,run_name,instruction_text,num_user,embed_dim,n_iter,n_train_img,bs_train,lr,wm_strength,sim_lambda,carr_lambda,cons_lambda,out_decode_lambda,ip2p_steps,count_orig,count_pre,count_wm,id_acc_orig,id_acc_pre,id_acc_wm,verify_pre_auc,verify_pre_acc,verify_pre_tpr1,verify_orig_auc,verify_orig_acc,verify_orig_tpr1,fid_wm_pre,fid_wm_orig,clip_wm_pre,clip_wm_orig,is_wm_mean,is_wm_std
dog_cartoon1,AFHQ_Dog,out/dog_cartoon1/run_20260410_114526_ins-dog_cartoon1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260410_114526_ins-dog_cartoon1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog a cartoon.,100,128,170,1404,4,0.00018,0.07,2.0,0.85,0.8,1.4,6,1392,1392,1392,0.01293103448275862,0.01293103448275862,0.8010057471264368,0.873177702635751,0.8024425287356322,0.4899425287356322,0.8327354484575241,0.7801724137931034,0.4202586206896552,17.239337028488478,61.31804113809889,,,12.101922130584716,1.2033079513307545
dog_cat1,AFHQ_Dog,out/dog_cat1/run_20260418_063859_ins-dog_cat1_seed1234_u100_it220_n1404_bs4_wm0p09_id4p2_sim1p6_car0p7_cons1_out1p8_wh96_wb4_ud64_ed128_lr0p00015,run_20260418_063859_ins-dog_cat1_seed1234_u100_it220_n1404_bs4_wm0p09_id4p2_sim1p6_car0p7_cons1_out1p8_wh96_wb4_ud64_ed128_lr0p00015,turn the dog into a cat.,100,128,220,1404,4,0.00015,0.09,1.6,0.7,1.0,1.8,6,1392,1392,1392,0.015086206896551725,0.01221264367816092,0.9080459770114943,0.9378460352259215,0.8753591954022988,0.6163793103448276,0.9022418231437441,0.8369252873563218,0.5172413793103449,23.784831616762318,167.7776940750239,,,2.783376955986023,0.16942110207734526
dog_cyberpunk1,AFHQ_Dog,out/dog_cyberpunk1/run_20260411_100700_ins-dog_cyberpunk1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260411_100700_ins-dog_cyberpunk1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog cyberpunk.,100,128,170,1404,4,0.00018,0.07,2.0,0.85,0.8,1.4,6,1392,1392,1392,0.010775862068965518,0.010057471264367816,0.9288793103448276,0.8622828828940416,0.7916666666666667,0.33045977011494254,0.8424326921488968,0.7726293103448276,0.3204022988505747,16.327453848568496,60.700997796471995,,,12.677512264251709,0.8325726065070139
dog_dragon1,AFHQ_Dog,out/dog_dragon1/run_20260407_161607_ins-dog_dragon1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260407_161607_ins-dog_dragon1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,turn the dog into a dragon.,100,128,170,1404,4,0.00018,0.07,2.0,0.85,0.8,1.4,6,1392,1392,1392,0.008620689655172414,0.007902298850574713,0.9375,0.9307849554927997,0.8645833333333334,0.5826149425287356,0.9295275135420795,0.865301724137931,0.5201149425287356,36.03845602488116,168.6758522978411,,,5.368834066390991,0.3375085821928076
dog_fox1,AFHQ_Dog,out/dog_fox1/run_20260417_020521_ins-dog_fox1_seed1234_u100_it220_n1404_bs4_wm0p09_id4p2_sim1p6_car0p7_cons1_out1p8_wh96_wb4_ud64_ed128_lr0p00015,run_20260417_020521_ins-dog_fox1_seed1234_u100_it220_n1404_bs4_wm0p09_id4p2_sim1p6_car0p7_cons1_out1p8_wh96_wb4_ud64_ed128_lr0p00015,turn the dog into a fox.,100,128,220,1404,4,0.00015,0.09,1.6,0.7,1.0,1.8,6,1392,1392,1392,0.016522988505747127,0.010775862068965518,0.7701149425287356,0.91049583415907,0.8380028735632183,0.5136494252873564,0.861699706450654,0.7805316091954023,0.3785919540229885,8.621958477206675,199.74048060318376,,,1.1330419898033142,0.027708398578730135
dog_golden1,AFHQ_Dog,out/dog_golden1/run_20260410_003243_ins-dog_golden1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260410_003243_ins-dog_golden1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog golden.,100,128,170,1404,4,0.00018,0.07,2.0,0.85,0.8,1.4,6,1392,1392,1392,0.007902298850574713,0.01221264367816092,0.9109195402298851,0.875241269900251,0.8078304597701149,0.39511494252873564,0.8314323329534945,0.7758620689655172,0.16091954022988506,11.976126766338979,39.92718459346827,,,10.108505535125733,1.229953007150263
dog_green1,AFHQ_Dog,out/dog_green1/run_20260409_020642_ins-dog_green1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260409_020642_ins-dog_green1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog green.,100,128,170,1404,4,0.00018,0.07,2.0,0.85,0.8,1.4,6,1392,1392,1392,0.015804597701149427,0.007183908045977011,0.9274425287356322,0.8753171344464262,0.8063936781609196,0.3089080459770115,0.8987729554762848,0.8283045977011494,0.42528735632183906,10.544081239488833,60.97226052922721,,,13.123091220855713,1.1737680267622546
dog_jumping1,AFHQ_Dog,out/dog_jumping1/run_20260415_235655_ins-dog_jumping1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260415_235655_ins-dog_jumping1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog look like it's jumping.,100,128,170,1404,4,0.00018,0.07,2.0,0.85,0.8,1.4,6,1376,1376,1376,0.006540697674418605,0.005813953488372093,0.938953488372093,0.9173505421004597,0.8477470930232558,0.5777616279069767,0.8997098304826933,0.8313953488372093,0.45276162790697677,12.696196437797738,32.635130617204,,,14.220973587036132,1.1606050100773413
dog_lion1,AFHQ_Dog,out/dog_lion1/run_20260418_205246_ins-dog_lion1_seed1234_u100_it220_n1404_bs4_wm0p09_id4p2_sim1p6_car0p7_cons1_out1p8_wh96_wb4_ud64_ed128_lr0p00015,run_20260418_205246_ins-dog_lion1_seed1234_u100_it220_n1404_bs4_wm0p09_id4p2_sim1p6_car0p7_cons1_out1p8_wh96_wb4_ud64_ed128_lr0p00015,turn the dog into a lion.,100,128,220,1404,4,0.00015,0.09,1.6,0.7,1.0,1.8,6,1392,1392,1392,0.00646551724137931,0.005747126436781609,0.915948275862069,0.9296165382646321,0.8559626436781609,0.5682471264367817,0.8869107337495047,0.8207614942528736,0.49137931034482757,11.616331698828816,181.4223295571467,,,1.6081791281700135,0.045039464921795704
dog_low_poly1,AFHQ_Dog,out/dog_low_poly1/run_20260416_115038_ins-dog_low_poly1_seed1234_u100_it220_n1404_bs4_wm0p09_id4p2_sim1p6_car0p7_cons1_out1p8_wh96_wb4_ud64_ed128_lr0p00015,run_20260416_115038_ins-dog_low_poly1_seed1234_u100_it220_n1404_bs4_wm0p09_id4p2_sim1p6_car0p7_cons1_out1p8_wh96_wb4_ud64_ed128_lr0p00015,make the dog low poly.,100,128,220,1404,4,0.00015,0.09,1.6,0.7,1.0,1.8,6,1392,1392,1392,0.010775862068965518,0.015086206896551725,0.7751436781609196,0.8818974806777645,0.8042385057471264,0.48778735632183906,0.8155394846578148,0.7528735632183908,0.3915229885057471,14.662435235305253,177.53344300652697,,,2.76515212059021,0.16985088231979953
