dataset,num_features,id_acc_orig,id_acc_pre,id_acc_wm,verify_pre_auc,verify_pre_acc,verify_pre_tpr1,verify_orig_auc,verify_orig_acc,verify_orig_tpr1,fid_wm_pre,fid_wm_orig,clip_wm_pre,clip_wm_orig,is_wm_mean
CelebA_HQ,30,0.010794049117692531,0.010328946641931142,0.9319951025861878,0.906416441794401,0.8369717818966849,0.48969313865147207,0.8715870288651689,0.8055790211797963,0.42094113717175735,18.09606998755425,76.50628337369403,0.94410129558638,0.7273846349363741,2.753100390831629
AFHQ_Dog,30,0.010341048335568518,0.010273704849854275,0.8983748436894321,0.8924187139838057,0.8239976037456658,0.4287314102754493,0.8487028375085475,0.7891616505920002,0.3475203974819719,15.22165846137898,92.3103932250697,0.9370673729382032,0.7503380121625531,9.415483816067375
CUB_Bird,1,0.010057471264367816,0.010057471264367816,0.8491379310344828,0.8036488782368874,0.7313218390804598,0.25287356321839083,0.7195612861672612,0.6716954022988506,0.11135057471264367,9.688734814204963,59.18396161129954,,,3.6573203086853026
LSUN_Church,4,0.01121794871794872,0.01282051282051282,0.754985754985755,0.818434407999935,0.7503561253561255,0.2902421652421653,0.7376656718492545,0.6939102564102564,0.224002849002849,14.31715099020932,59.06701493261148,0.9366849142941316,0.7537678179949352,3.17338604927063
LSUN_Bedroom,4,0.012998575498575497,0.01282051282051282,0.917022792022792,0.9250115791470848,0.8595975783475783,0.600071225071225,0.8873326794222449,0.8250534188034189,0.49572649572649574,16.506789841418062,65.51343109241468,0.9493070922027795,0.7936813649469375,2.9290666341781613
ALL,69,0.010738789735192699,0.010589871283797576,0.9050473986570617,0.894818659422771,0.8260901191763158,0.4545922259750665,0.8525833432241271,0.7911560906711225,0.3774509274382884,16.41328045809727,81.47834845904805,0.9425662393621892,0.7396676146664188,5.697458800716674
