feature,dataset,run_dir,run_name,instruction_text,num_user,embed_dim,n_iter,n_train_img,bs_train,lr,wm_strength,sim_lambda,carr_lambda,cons_lambda,out_decode_lambda,ip2p_steps,count_orig,count_pre,count_wm,id_acc_orig,id_acc_pre,id_acc_wm,verify_pre_auc,verify_pre_acc,verify_pre_tpr1,verify_orig_auc,verify_orig_acc,verify_orig_tpr1,fid_wm_pre,fid_wm_orig,clip_wm_pre,clip_wm_orig,is_wm_mean,is_wm_std
red_hair1,CelebA_HQ,out/red_hair1,run_20260319_030825_ins-red_hair1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the person's hair red.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.008547008547008548,0.017094017094017096,0.9565527065527065,0.9429212729604467,0.8796296296296297,0.6858974358974359,0.930398292221654,0.8739316239316239,0.6944444444444444,15.803108781524998,56.000246076119595,0.9536193160929232,0.7927831394380314,2.89610698223114,0.15485690579842862
serious1,CelebA_HQ,out/serious1,run_20260318_023217_ins-serious1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the face look serious.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.009971509971509971,0.011396011396011397,0.9501424501424501,0.8890616249056421,0.813034188034188,0.3974358974358974,0.8574212567268122,0.7724358974358974,0.35185185185185186,19.979087758746658,46.38271284120077,0.9365089149386795,0.7988785759166435,3.052364730834961,0.1788185489629454
sketch1,CelebA_HQ,out/sketch1,run_20260324_232649_ins-sketch1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make it a sketch.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.013532763532763533,0.009259259259259259,0.9209401709401709,0.9265247948474444,0.8600427350427351,0.561965811965812,0.9131769425572844,0.853988603988604,0.5897435897435898,17.70234505291819,79.2525044479963,0.9551446756236573,0.7997717548724254,2.7630809545516968,0.19657413271525764
smiling1,CelebA_HQ,out/smiling1,run_20260317_085515_ins-smiling1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the face smile.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.007834757834757835,0.01282051282051282,0.9693732193732194,0.9217028981095933,0.8511396011396011,0.5220797720797721,0.9096829063887468,0.8379629629629629,0.4601139601139601,20.427404603200557,45.806955567400564,0.9398293752870669,0.817123561206027,3.0084129095077516,0.1765175857969441
surprised1,CelebA_HQ,out/surprised1,run_20260317_025138_ins-surprised1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the face look surprised.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.012108262108262107,0.009971509971509971,0.9529914529914529,0.9281940690416475,0.8607549857549858,0.5662393162393162,0.9079545316190616,0.8347578347578348,0.4351851851851852,20.325490069514927,49.073797115513,0.9433319201411685,0.8149773894127278,3.0732349395751952,0.2590486802699226
tanned1,CelebA_HQ,out/tanned1,run_20260314_101215_ins-tanned1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the face tanned.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.008547008547008548,0.009971509971509971,0.9586894586894587,0.9313035709937421,0.871082621082621,0.5377492877492878,0.9319488579638151,0.8721509971509971,0.5776353276353277,18.676886362495964,48.76508378328134,0.9437825470059006,0.8130220060589647,3.031225061416626,0.20440407254210435
watercolor1,CelebA_HQ,out/watercolor1,run_20260325_053146_ins-watercolor1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make it a watercolor painting with thick brushstrokes.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.008547008547008548,0.010683760683760684,0.9622507122507122,0.8974757205704498,0.8151709401709402,0.3938746438746439,0.7798300642851924,0.6983618233618234,0.20655270655270655,24.34359521637535,71.04682951599096,0.9380874125621258,0.8054564049271097,3.048760104179382,0.1641528111596465
wrinkles1,CelebA_HQ,out/wrinkles1,run_20260315_035405_ins-wrinkles1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,add wrinkles to the face.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.01282051282051282,0.01566951566951567,0.9544159544159544,0.8968568132563859,0.8180199430199431,0.42165242165242167,0.8449558546602706,0.7738603988603989,0.2378917378917379,19.13558970737128,50.3940414339867,0.9327655506779325,0.7996645442016443,2.95533287525177,0.16264001586156784
young1,CelebA_HQ,out/young1,run_20260316_030633_ins-young1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the person look young.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.009259259259259259,0.009259259259259259,0.9572649572649573,0.8791345037783784,0.8041310541310541,0.33048433048433046,0.8418755225201096,0.771011396011396,0.21652421652421652,18.98907947045899,38.65058484097,0.9367749514403166,0.8091139756673761,2.968057656288147,0.19731083281678785
zombie1,CelebA_HQ,out/zombie1/run_20260401_121935_ins-zombie1_seed1234_u100_it170_n1404_bs8_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260401_121935_ins-zombie1_seed1234_u100_it170_n1404_bs8_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,turn the person into a zombie.,100,128,170,1404,8,0.00018,0.07,2.0,0.85,0.8,1.4,6,1376,1376,1376,0.01308139534883721,0.006540697674418605,0.9709302325581395,0.9454646092482423,0.8822674418604651,0.622093023255814,0.9392236407348566,0.8724563953488372,0.6402616279069767,23.02159042428417,92.38520217174414,0.9437432853981506,0.6673398582741271,2.647483062744141,0.1083309523957225
zuckerberg1,CelebA_HQ,out/zuckerberg1,run_20260323_024348_ins-zuckerberg1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the person look like Mark Zuckerberg.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.009971509971509971,0.010683760683760684,0.8732193732193733,0.8968717786381605,0.8194444444444444,0.4878917378917379,0.8099127645067816,0.7524928774928775,0.38461538461538464,16.386877678162676,103.38169253893227,0.9567561421723787,0.527780197730601,2.2967765808105467,0.12230680055627474
